0:0:0:0:0:0:0:1 - - [10/May/2024:22:37:42 -0400] "GET /aulascursosya/xava/editors/js/jquery.inputmask.js?ox=7.2.3 HTTP/1.1" 200 202754
0:0:0:0:0:0:0:1 - - [10/May/2024:22:37:42 -0400] "GET /aulascursosya/xava/editors/js/inputmask.js?ox=7.2.3 HTTP/1.1" 200 209354
0:0:0:0:0:0:0:1 - - [10/May/2024:22:37:42 -0400] "GET /aulascursosya/xava/editors/js/leaflet.js?ox=7.2.3 HTTP/1.1" 200 146715
0:0:0:0:0:0:0:1 - - [10/May/2024:22:37:42 -0400] "GET /aulascursosya/xava/editors/js/jstree.js?ox=7.2.3 HTTP/1.1" 200 139314
0:0:0:0:0:0:0:1 - - [10/May/2024:22:37:42 -0400] "GET /aulascursosya/xava/editors/js/textEditor.js?ox=7.2.3 HTTP/1.1" 200 535
0:0:0:0:0:0:0:1 - - [10/May/2024:22:37:42 -0400] "GET /aulascursosya/xava/editors/js/treeEditor.js?ox=7.2.3 HTTP/1.1" 200 6206
0:0:0:0:0:0:0:1 - - [10/May/2024:22:37:42 -0400] "GET /aulascursosya/naviox/js/naviox.js?ox=7.2.3 HTTP/1.1" 200 5794
0:0:0:0:0:0:0:1 - - [10/May/2024:22:37:42 -0400] "GET /aulascursosya/xava/editors/js/webURLEditor.js?ox=7.2.3 HTTP/1.1" 200 276
0:0:0:0:0:0:0:1 - - [10/May/2024:22:37:42 -0400] "GET /aulascursosya/xava/editors/js/uploadEditor.js?ox=7.2.3 HTTP/1.1" 200 10278
0:0:0:0:0:0:0:1 - - [10/May/2024:22:37:42 -0400] "GET /aulascursosya/xava/editors/js/tinymce.js?ox=7.2.3 HTTP/1.1" 200 415251
0:0:0:0:0:0:0:1 - - [10/May/2024:22:37:42 -0400] "GET /aulascursosya/xava/editors/js/full-calendar.js?ox=7.2.3 HTTP/1.1" 200 688394
0:0:0:0:0:0:0:1 - - [10/May/2024:22:37:42 -0400] "GET /aulascursosya/xava/style/base.css?ox=7.2.3 HTTP/1.1" 200 97087
0:0:0:0:0:0:0:1 - - [10/May/2024:22:37:42 -0400] "GET /aulascursosya/dwr/interface/Discussion.js HTTP/1.1" 200 425
0:0:0:0:0:0:0:1 - - [10/May/2024:22:37:42 -0400] "GET /aulascursosya/xava/fonts/roboto-regular-webfont.woff HTTP/1.1" 200 20924
0:0:0:0:0:0:0:1 - - [10/May/2024:22:37:42 -0400] "GET /aulascursosya/xava/fonts/materialdesignicons-webfont.woff2?v=4.9.95 HTTP/1.1" 200 283040
0:0:0:0:0:0:0:1 - - [10/May/2024:22:37:43 -0400] "GET /aulascursosya/xava/editors/flatpickr/en.js HTTP/1.1" 404 817
0:0:0:0:0:0:0:1 - - [10/May/2024:22:37:43 -0400] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [10/May/2024:22:37:43 -0400] "POST /aulascursosya/dwr/call/plaincall/Module.getStrokeActions.dwr HTTP/1.1" 200 1180
0:0:0:0:0:0:0:1 - - [10/May/2024:22:37:44 -0400] "POST /aulascursosya/dwr/call/plaincall/Module.request.dwr HTTP/1.1" 200 118850
0:0:0:0:0:0:0:1 - - [10/May/2024:22:37:49 -0400] "GET /aulascursosya/m/Categorias?init=true HTTP/1.1" 200 19128
0:0:0:0:0:0:0:1 - - [10/May/2024:22:37:49 -0400] "GET /aulascursosya/dwr/interface/Folders.js?ox=7.2.3 HTTP/1.1" 200 500
0:0:0:0:0:0:0:1 - - [10/May/2024:22:37:49 -0400] "GET /aulascursosya/dwr/interface/Modules.js?ox=7.2.3 HTTP/1.1" 200 977
0:0:0:0:0:0:0:1 - - [10/May/2024:22:37:49 -0400] "GET /aulascursosya/dwr/interface/Module.js?ox=7.2.3 HTTP/1.1" 200 1059
0:0:0:0:0:0:0:1 - - [10/May/2024:22:37:49 -0400] "GET /aulascursosya/dwr/interface/Tab.js?ox=7.2.3 HTTP/1.1" 200 999
0:0:0:0:0:0:0:1 - - [10/May/2024:22:37:49 -0400] "GET /aulascursosya/dwr/util.js?ox=7.2.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2024:22:37:49 -0400] "GET /aulascursosya/dwr/interface/View.js?ox=7.2.3 HTTP/1.1" 200 547
0:0:0:0:0:0:0:1 - - [10/May/2024:22:37:49 -0400] "GET /aulascursosya/dwr/interface/Discussion.js HTTP/1.1" 200 425
0:0:0:0:0:0:0:1 - - [10/May/2024:22:37:49 -0400] "POST /aulascursosya/dwr/call/plaincall/Module.getStrokeActions.dwr HTTP/1.1" 200 1180
0:0:0:0:0:0:0:1 - - [10/May/2024:22:37:50 -0400] "GET /aulascursosya/xava/editors/flatpickr/en.js HTTP/1.1" 404 817
0:0:0:0:0:0:0:1 - - [10/May/2024:22:37:50 -0400] "POST /aulascursosya/dwr/call/plaincall/Module.request.dwr HTTP/1.1" 200 24355
