127.0.0.1 - - [03/Nov/2024:17:58:58 -0400] "GET /oxhospedaje/xava/editors/js/autoNumeric.js?ox=7.2.2 HTTP/1.1" 200 19587
127.0.0.1 - - [03/Nov/2024:17:58:58 -0400] "GET /oxhospedaje/xava/editors/js/c3.js?ox=7.2.2 HTTP/1.1" 200 138210
127.0.0.1 - - [03/Nov/2024:17:58:58 -0400] "GET /oxhospedaje/xava/editors/js/calendarEditor.js?ox=7.2.2 HTTP/1.1" 200 9057
127.0.0.1 - - [03/Nov/2024:17:58:58 -0400] "GET /oxhospedaje/xava/editors/js/cardsEditor.js?ox=7.2.2 HTTP/1.1" 200 297
127.0.0.1 - - [03/Nov/2024:17:58:58 -0400] "GET /oxhospedaje/xava/editors/js/coordinatesEditor.js?ox=7.2.2 HTTP/1.1" 200 2243
127.0.0.1 - - [03/Nov/2024:17:58:58 -0400] "GET /oxhospedaje/xava/editors/js/dateCalendarEditor.js?ox=7.2.2 HTTP/1.1" 200 7005
127.0.0.1 - - [03/Nov/2024:17:58:58 -0400] "GET /oxhospedaje/xava/editors/js/chartDataEditor.js?ox=7.2.2 HTTP/1.1" 200 2881
127.0.0.1 - - [03/Nov/2024:17:58:58 -0400] "GET /oxhospedaje/xava/editors/js/d3.js?ox=7.2.2 HTTP/1.1" 200 151125
127.0.0.1 - - [03/Nov/2024:17:58:58 -0400] "GET /oxhospedaje/xava/editors/js/descriptionsEditor.js?ox=7.2.2 HTTP/1.1" 200 3644
127.0.0.1 - - [03/Nov/2024:17:58:58 -0400] "GET /oxhospedaje/xava/editors/js/discussionEditor.js?ox=7.2.2 HTTP/1.1" 200 1955
127.0.0.1 - - [03/Nov/2024:17:58:58 -0400] "GET /oxhospedaje/xava/editors/js/editableValidValuesEditor.js?ox=7.2.2 HTTP/1.1" 200 1026
127.0.0.1 - - [03/Nov/2024:17:58:58 -0400] "GET /oxhospedaje/xava/editors/js/elementCollectionEditor.js?ox=7.2.2 HTTP/1.1" 200 3935
127.0.0.1 - - [03/Nov/2024:17:58:58 -0400] "GET /oxhospedaje/xava/editors/js/filepond-plugin-file-validate-size.js?ox=7.2.2 HTTP/1.1" 200 2368
127.0.0.1 - - [03/Nov/2024:17:58:58 -0400] "GET /oxhospedaje/xava/editors/js/filepond-plugin-file-validate-type.js?ox=7.2.2 HTTP/1.1" 200 2332
127.0.0.1 - - [03/Nov/2024:17:58:58 -0400] "GET /oxhospedaje/xava/editors/js/filepond-plugin-image-preview.js?ox=7.2.2 HTTP/1.1" 200 24083
